Risk_ID,Project_ID,Project_Name,Risk_Category,Severity,Probability,Potential_Impact_AED,Status,Owner,Date_Raised
RSK-0001,PRJ-1001,Al Raha Beach Villas Phase 1,Material Delay,High,Low,100000,Monitoring,Hessa Al Qubaisi,2026-08-17
RSK-0002,PRJ-1001,Al Raha Beach Villas Phase 1,Design Change,High,High,5000000,Open,Aisha Al Shamsi,2025-12-05
RSK-0003,PRJ-1001,Al Raha Beach Villas Phase 1,Contractor Performance,Critical,Medium,1000000,Mitigating,Aisha Al Shamsi,2026-07-12
RSK-0004,PRJ-1002,Khalifa City Residential Extension,Labor Shortage,Critical,Medium,250000,Mitigating,Fatima Al Nuaimi,2026-06-06
RSK-0005,PRJ-1002,Khalifa City Residential Extension,Subcontractor Default,High,Medium,500000,Mitigating,Rashid Al Dhaheri,2025-11-19
RSK-0006,PRJ-1003,Al Maryah Island Villas Phase 2,Material Delay,Low,Medium,250000,Mitigating,Noura Al Ketbi,2026-06-29
RSK-0007,PRJ-1003,Al Maryah Island Villas Phase 2,Design Change,Critical,High,2500000,Monitoring,Aisha Al Shamsi,2026-01-28
RSK-0008,PRJ-1003,Al Maryah Island Villas Phase 2,Client Decision Delay,Low,Low,250000,Monitoring,Aisha Al Shamsi,2026-01-13
RSK-0009,PRJ-1003,Al Maryah Island Villas Phase 2,Permitting & Approvals,Low,Low,1000000,Open,Khalid Al Hosani,2026-01-15
RSK-0010,PRJ-1003,Al Maryah Island Villas Phase 2,Design Change,Critical,Low,2500000,Monitoring,Mariam Al Falasi,2026-06-07
RSK-0011,PRJ-1003,Al Maryah Island Villas Phase 2,Design Change,High,High,1000000,Mitigating,Fatima Al Nuaimi,2026-05-04
RSK-0012,PRJ-1003,Al Maryah Island Villas Phase 2,Material Delay,Low,Medium,2500000,Open,Aisha Al Shamsi,2026-03-31
RSK-0013,PRJ-1003,Al Maryah Island Villas Phase 2,Utility Clashes,High,Medium,500000,Open,Aisha Al Shamsi,2025-11-18
RSK-0014,PRJ-1004,Khalifa City Commercial Redevelopment,Weather/Site Conditions,Medium,Medium,1000000,Monitoring,Omar Al Suwaidi,2026-07-23
RSK-0015,PRJ-1004,Khalifa City Commercial Redevelopment,Scope Change,High,Medium,5000000,Monitoring,Khalid Al Hosani,2026-08-26
RSK-0016,PRJ-1004,Khalifa City Commercial Redevelopment,Permitting & Approvals,High,High,5000000,Monitoring,Hessa Al Qubaisi,2025-12-20
