Project_ID,Project_Name,Sector,Location,Current_Phase,Contractor,Project_Manager,Start_Date,Planned_Completion_Date,Forecast_Completion_Date,Contract_Value_AED,Budget_AED,Planned_Percent_Complete,Actual_Percent_Complete,Planned_Value_PV_AED,Earned_Value_EV_AED,Actual_Cost_AC_AED,Committed_Cost_AED,Cost_Variance_AED,Schedule_Variance_AED,SPI,CPI,Open_Risks_Count,Risk_Level,Status
PRJ-1001,Al Raha Beach Villas Phase 1,Villas & Townhouses,Khalifa City,Construction - Mid,Bin Faqeeh Real Estate,Hessa Al Qubaisi,2025-12-13,2029-02-09,2029-03-29,142200000.0,148781984.0,22.7,18.9,33773510.0,28119795.0,26138328.0,31604836.0,1981467.0,-5653715.0,0.83,1.08,3,High,At Risk
PRJ-1002,Khalifa City Residential Extension,Residential Towers,Al Shamkha,Handover,National Projects & Const.,Noura Al Ketbi,2025-09-21,2028-01-28,2028-07-30,580300000.0,612347624.0,40.2,22.4,246163745.0,137165868.0,154920867.0,189253767.0,-17754999.0,-108997877.0,0.56,0.89,2,High,Critical Delay
PRJ-1003,Al Maryah Island Villas Phase 2,Villas & Townhouses,Saadiyat Island,Testing & Commissioning,TAV Construction,Hessa Al Qubaisi,2023-12-19,2026-01-09,2026-01-09,593400000.0,625993489.0,100.0,100.0,625993489.0,625993489.0,758663250.0,625993489.0,-132669761.0,0.0,1.0,0.83,8,High,At Risk
PRJ-1004,Khalifa City Commercial Redevelopment,Commercial Office,Saadiyat Island,Design,China State Construction,Omar Al Suwaidi,2024-06-26,2026-03-21,2026-03-21,745800000.0,804031167.0,100.0,100.0,804031167.0,804031167.0,831398673.0,804031167.0,-27367506.0,0.0,1.0,0.97,13,High,Minor Delay
PRJ-1005,Khalifa City Commercial District 5,Commercial Office,Al Raha Beach,Procurement,National Projects & Const.,Noura Al Ketbi,2024-08-19,2027-07-05,2027-11-24,204000000.0,213136443.0,70.8,57.0,150900602.0,121487773.0,147833247.0,155589591.0,-26345475.0,-29412829.0,0.81,0.82,8,High,At Risk
PRJ-1006,Yas Island Residential Tower B,Residential Towers,Masdar City,Handover,ASGC Construction,Omar Al Suwaidi,2025-08-03,2026-11-13,2026-11-13,239900000.0,257311525.0,84.4,89.2,217170927.0,229521880.0,256291384.0,240516350.0,-26769504.0,12350953.0,1.06,0.9,14,High,Minor Delay
PRJ-1007,Khalifa City Infrastructure Tower A,Infrastructure & Utilities,Al Shamkha,Construction - Late,Al Jaber Construction,Fatima Al Nuaimi,2024-03-31,2026-12-24,2027-04-14,435600000.0,446864302.0,88.6,80.0,395921772.0,357491442.0,343727851.0,401598363.0,13763591.0,-38430330.0,0.9,1.04,12,High,Minor Delay
PRJ-1008,Al Maryah Island Mixed-Use Tower A,Mixed-Use Development,Zayed City,Procurement,Bin Faqeeh Real Estate,Khalid Al Hosani,2025-04-05,2027-06-04,2027-09-09,586300000.0,592659294.0,65.1,53.6,385821200.0,317665382.0,382065449.0,418459453.0,-64400067.0,-68155819.0,0.82,0.83,1,High,At Risk
PRJ-1009,Al Raha Beach Commercial Phase 2,Commercial Office,Al Maryah Island,Construction - Early,TAV Construction,Saeed Al Mansoori,2025-01-25,2026-03-04,2026-04-20,908400000.0,966411225.0,100.0,88.8,966411225.0,858173168.0,835513589.0,956954232.0,22659578.0,-108238057.0,0.89,1.03,13,High,At Risk
PRJ-1010,Masdar City Retail Tower A,Retail & Community,Al Reem Island,Design,Khansaheb Civil Engineering,Fatima Al Nuaimi,2024-08-29,2026-08-30,2026-11-18,489700000.0,472336611.0,100.0,91.4,472336611.0,431715662.0,501667605.0,441442442.0,-69951943.0,-40620949.0,0.91,0.86,3,High,At Risk
PRJ-1011,Saadiyat Island Villas Community Hub,Villas & Townhouses,Al Shamkha,Construction - Early,National Projects & Const.,Khalid Al Hosani,2025-12-24,2028-12-03,2029-04-29,477800000.0,488060500.0,23.3,12.2,113718096.0,59543381.0,62338430.0,85385966.0,-2795049.0,-54174716.0,0.52,0.96,8,High,Critical Delay
PRJ-1012,Mohammed Bin Zayed City Hospitality District 5,Hospitality,Al Shamkha,Defects Liability,Al Jaber Construction,Mariam Al Falasi,2026-01-01,2027-10-16,2027-11-01,252200000.0,250674473.0,37.2,34.5,93250904.0,86482693.0,85277575.0,90931732.0,1205118.0,-6768211.0,0.93,1.01,10,High,Minor Delay
PRJ-1013,Masdar City Villas Phase 1,Villas & Townhouses,Saadiyat Island,Construction - Mid,Ghantoot Group,Mariam Al Falasi,2025-07-23,2028-07-12,2028-07-12,486900000.0,496686890.0,37.3,38.1,185264210.0,189237705.0,206810980.0,219411091.0,-17573275.0,3973495.0,1.02,0.92,7,Medium,Minor Delay
