Project_ID,Project_Name,Month,Planned_Percent_Complete,Actual_Percent_Complete,SPI,CPI,Actual_Cost_AED
PRJ-1001,Al Raha Beach Villas Phase 1,2025-10,0.0,0.0,0.78,1.03,0.0
PRJ-1001,Al Raha Beach Villas Phase 1,2025-11,2.1,1.7,0.79,1.02,2595295.0
PRJ-1001,Al Raha Beach Villas Phase 1,2025-12,4.1,3.4,0.8,1.01,5569978.0
PRJ-1001,Al Raha Beach Villas Phase 1,2026-01,6.2,5.2,0.82,1.0,8135945.0
PRJ-1001,Al Raha Beach Villas Phase 1,2026-02,8.3,6.9,0.82,1.0,10106439.0
PRJ-1001,Al Raha Beach Villas Phase 1,2026-03,10.3,8.6,0.82,1.01,13842428.0
PRJ-1001,Al Raha Beach Villas Phase 1,2026-04,12.4,10.3,0.84,1.0,15734238.0
PRJ-1001,Al Raha Beach Villas Phase 1,2026-05,14.4,12.0,0.86,0.99,19677180.0
PRJ-1001,Al Raha Beach Villas Phase 1,2026-06,16.5,13.7,0.86,1.01,20140020.0
PRJ-1001,Al Raha Beach Villas Phase 1,2026-07,18.6,15.5,0.87,1.01,24475443.0
PRJ-1001,Al Raha Beach Villas Phase 1,2026-08,20.6,17.2,0.87,1.02,26361414.0
PRJ-1001,Al Raha Beach Villas Phase 1,2026-09,22.7,18.9,0.87,1.01,31402641.0
PRJ-1002,Khalifa City Residential Extension,2025-10,10.2,0.0,0.6,0.84,0.0
PRJ-1002,Khalifa City Residential Extension,2025-11,12.9,2.0,0.6,0.83,12370323.0
PRJ-1002,Khalifa City Residential Extension,2025-12,15.7,4.1,0.6,0.82,27611533.0
PRJ-1002,Khalifa City Residential Extension,2026-01,18.4,6.1,0.6,0.82,40077335.0
PRJ-1002,Khalifa City Residential Extension,2026-02,21.1,8.1,0.6,0.84,50599234.0
PRJ-1002,Khalifa City Residential Extension,2026-03,23.8,10.2,0.6,0.84,64739621.0
PRJ-1002,Khalifa City Residential Extension,2026-04,26.6,12.2,0.6,0.85,81186640.0
PRJ-1002,Khalifa City Residential Extension,2026-05,29.3,14.3,0.6,0.85,91846809.0
PRJ-1002,Khalifa City Residential Extension,2026-06,32.0,16.3,0.6,0.84,110605277.0
PRJ-1002,Khalifa City Residential Extension,2026-07,34.7,18.3,0.6,0.84,128159028.0
PRJ-1002,Khalifa City Residential Extension,2026-08,37.5,20.4,0.6,0.83,136815757.0
PRJ-1002,Khalifa City Residential Extension,2026-09,40.2,22.4,0.6,0.85,148381941.0
PRJ-1003,Al Maryah Island Villas Phase 2,2025-10,70.0,70.0,0.95,0.78,441156452.0
PRJ-1003,Al Maryah Island Villas Phase 2,2025-11,72.7,72.7,0.94,0.78,492950873.0
PRJ-1003,Al Maryah Island Villas Phase 2,2025-12,75.5,75.5,0.95,0.77,507223911.0
PRJ-1003,Al Maryah Island Villas Phase 2,2026-01,78.2,78.2,0.95,0.76,474083420.0
PRJ-1003,Al Maryah Island Villas Phase 2,2026-02,80.9,80.9,0.95,0.78,577596191.0
PRJ-1003,Al Maryah Island Villas Phase 2,2026-03,83.6,83.6,0.96,0.79,521973757.0
PRJ-1003,Al Maryah Island Villas Phase 2,2026-04,86.4,86.4,0.97,0.8,547163664.0
PRJ-1003,Al Maryah Island Villas Phase 2,2026-05,89.1,89.1,0.99,0.81,619782682.0
PRJ-1003,Al Maryah Island Villas Phase 2,2026-06,91.8,91.8,0.98,0.82,562976147.0
PRJ-1003,Al Maryah Island Villas Phase 2,2026-07,94.5,94.5,0.98,0.82,567726273.0
PRJ-1003,Al Maryah Island Villas Phase 2,2026-08,97.3,97.3,0.99,0.83,698302742.0
PRJ-1003,Al Maryah Island Villas Phase 2,2026-09,100.0,100.0,1.01,0.85,671224520.0
PRJ-1004,Khalifa City Commercial Redevelopment,2025-10,70.0,70.0,0.95,0.91,621185239.0
PRJ-1004,Khalifa City Commercial Redevelopment,2025-11,72.7,72.7,0.97,0.91,608773358.0
PRJ-1004,Khalifa City Commercial Redevelopment,2025-12,75.5,75.5,0.95,0.93,683864124.0
PRJ-1004,Khalifa City Commercial Redevelopment,2026-01,78.2,78.2,0.96,0.93,669549933.0
PRJ-1004,Khalifa City Commercial Redevelopment,2026-02,80.9,80.9,0.97,0.93,711469325.0
PRJ-1004,Khalifa City Commercial Redevelopment,2026-03,83.6,83.6,0.97,0.94,690481528.0
PRJ-1004,Khalifa City Commercial Redevelopment,2026-04,86.4,86.4,0.97,0.95,715174060.0
PRJ-1004,Khalifa City Commercial Redevelopment,2026-05,89.1,89.1,0.96,0.96,701644364.0
PRJ-1004,Khalifa City Commercial Redevelopment,2026-06,91.8,91.8,0.96,0.96,802861468.0
PRJ-1004,Khalifa City Commercial Redevelopment,2026-07,94.5,94.5,0.97,0.96,857881698.0
